Date,Children_apprehended_and_placed,Children_in_CBP_custody,Children_transferred_out_of_CBP,Children_in_HHS_Care,Children_discharged_from_HHS_Car,Date_only,HHS_Care_num,lag1,lag7,lag14,net_flow,ML_Forecast
2025-11-06,6,33,9,2264.0,19,2025-11-06,2264.0,2272.0,2286.0,2237.0,-10,2268.115
2025-11-09,11,33,5,2294.0,4,2025-11-09,2294.0,2264.0,2280.0,2243.0,1,2269.78
2025-11-11,11,39,12,2294.0,14,2025-11-11,2294.0,2294.0,2287.0,2251.0,-2,2299.445
2025-11-12,14,48,20,2302.0,7,2025-11-12,2302.0,2294.0,2277.0,2261.0,13,2304.255
2025-11-13,6,26,16,2317.0,5,2025-11-13,2317.0,2302.0,2269.0,2266.0,11,2315.84
2025-11-16,5,22,3,2340.0,5,2025-11-16,2340.0,2317.0,2270.0,2276.0,-2,2309.94
2025-11-17,1,35,6,2343.0,8,2025-11-17,2343.0,2340.0,2272.0,2282.0,-2,2332.05
2025-11-18,2,38,8,2345.0,12,2025-11-18,2345.0,2343.0,2264.0,2286.0,-4,2331.98
2025-11-19,7,32,3,2340.0,10,2025-11-19,2340.0,2345.0,2294.0,2280.0,-7,2331.295
2025-11-20,18,57,8,2340.0,9,2025-11-20,2340.0,2340.0,2294.0,2287.0,-1,2332.675
2025-11-23,3,46,22,2375.0,1,2025-11-23,2375.0,2340.0,2302.0,2277.0,21,2353.935
2025-11-24,9,40,9,2371.0,13,2025-11-24,2371.0,2375.0,2317.0,2269.0,-4,2346.69
2025-11-25,6,47,14,2375.0,11,2025-11-25,2375.0,2371.0,2340.0,2270.0,3,2348.78
2025-11-27,4,24,8,2389.0,7,2025-11-27,2389.0,2375.0,2343.0,2272.0,1,2349.01
2025-11-30,4,18,10,2415.0,0,2025-11-30,2415.0,2389.0,2345.0,2264.0,10,2378.54
2025-12-01,4,26,4,2410.0,9,2025-12-01,2410.0,2415.0,2340.0,2294.0,-5,2411.23
2025-12-02,7,34,6,2407.0,8,2025-12-02,2407.0,2410.0,2340.0,2294.0,-2,2408.61
2025-12-03,4,32,8,2419.0,7,2025-12-03,2419.0,2407.0,2375.0,2302.0,1,2404.265
2025-12-04,16,39,7,2418.0,13,2025-12-04,2418.0,2419.0,2371.0,2317.0,-6,2412.725
2025-12-07,4,24,13,2429.0,12,2025-12-07,2429.0,2418.0,2375.0,2340.0,1,2413.15
2025-12-08,9,27,9,2440.0,4,2025-12-08,2440.0,2429.0,2389.0,2343.0,5,2431.845
2025-12-09,4,30,7,2443.0,8,2025-12-09,2443.0,2440.0,2415.0,2345.0,-1,2436.095
2025-12-10,10,54,5,2439.0,9,2025-12-10,2439.0,2443.0,2410.0,2340.0,-4,2438.425
2025-12-11,7,47,9,2437.0,10,2025-12-11,2437.0,2439.0,2407.0,2340.0,-1,2436.095
2025-12-14,8,35,4,2462.0,8,2025-12-14,2462.0,2437.0,2419.0,2375.0,-4,2434.67
2025-12-15,11,42,9,2470.0,7,2025-12-15,2470.0,2462.0,2418.0,2371.0,2,2482.085
2025-12-16,8,54,15,2468.0,9,2025-12-16,2468.0,2470.0,2429.0,2375.0,6,2483.25
2025-12-17,7,31,11,2481.0,10,2025-12-17,2481.0,2468.0,2440.0,2389.0,1,2482.77
2025-12-18,11,50,6,2472.0,16,2025-12-18,2472.0,2481.0,2443.0,2415.0,-10,2489.97
2025-12-21,6,18,11,2484.0,14,2025-12-21,2484.0,2472.0,2439.0,2410.0,-3,2493.34
